nm 	intensidad	
475.351	20.88	
476.131	22.88	
476.91	21.88	
477.69	18.88	
478.469	22.88	
479.249	21.88	
480.028	20.88	
480.807	18.88	
481.586	23.88	
482.365	20.88	
483.144	20.88	
483.923	21.88	
484.702	20.88	
485.481	21.88	
486.26	20.88	
487.039	21.88	
487.817	22.88	
488.596	22.88	
489.375	24.88	
490.153	23.88	
490.931	39.88	
491.71	186.88	
492.488	285.88	
493.266	69.88	
494.044	30.88	
494.822	25.88	
495.6	20.88	
496.378	21.88	
497.156	24.88	
497.934	21.88	
498.711	24.88	
499.489	20.88	
500.267	20.88	
501.044	21.88	
501.822	21.88	
502.599	24.88	
503.376	22.88	
504.154	24.88	
504.931	22.88	
505.708	20.88	
506.485	21.88	
507.262	23.88	
508.039	25.88	
508.815	20.88	
509.592	21.88	
510.369	22.88	
511.146	22.88	
511.922	23.88	
512.699	25.88	
513.475	25.88	
514.251	24.88	
515.028	27.88	
515.804	26.88	
516.58	27.88	
517.356	28.88	
518.132	27.88	
518.908	28.88	
519.684	28.88	
520.46	33.88	
521.235	33.88	
522.011	33.88	
522.787	33.88	
523.562	36.88	
524.338	39.88	
525.113	41.88	
525.888	39.88	
526.664	44.88	
527.439	49.88	
528.214	53.88	
528.989	53.88	
529.764	58.88	
530.539	64.88	
531.314	69.88	
532.088	76.88	
532.863	84.88	
533.638	100.88	
534.412	111.88	
535.187	116.88	
535.961	140.88	
536.735	145.88	
537.51	159.88	
538.284	185.88	
539.058	203.88	
539.832	219.88	
540.606	265.88	
541.38	298.88	
542.154	335.88	
542.928	399.88	
543.702	483.88	
544.475	716.88	
545.249	2715.88	
546.022	9485.88	
546.796	17019.88	
547.569	8470.88	
548.342	1919.88	
549.116	877.88	
549.889	559.88	
550.662	407.88	
551.435	338.88	
552.208	280.88	
552.981	235.88	
553.754	190.88	
554.526	165.88	
555.299	132.88	
556.072	109.88	
556.844	100.88	
557.617	86.88	
558.389	75.88	
559.162	67.88	
559.934	60.88	
560.706	55.88	
561.478	58.88	
562.25	48.88	
563.022	44.88	
563.794	45.88	
564.566	47.88	
565.338	44.88	
566.109	39.88	
566.881	43.88	
567.653	52.88	
568.424	52.88	
569.196	47.88	
569.967	45.88	
570.738	41.88	
571.509	46.88	
572.281	49.88	
573.052	50.88	
573.823	55.88	
574.594	62.88	
575.364	83.88	
576.135	313.88	
576.906	2877.88	
577.677	5298.88	
578.447	1546.88	
579.218	4162.88	
579.988	3783.88	
580.759	607.88	
581.529	151.88	
582.299	88.88	
583.069	60.88	
583.839	51.88	
584.609	45.88	
585.379	36.88	
586.149	42.88	
586.919	36.88	
587.689	35.88	
588.458	31.88	
589.228	27.88	
589.998	26.88	
590.767	23.88	
591.536	23.88	
592.306	24.88	
593.075	22.88	
593.844	24.88	
594.613	23.88	
595.382	21.88	
596.151	18.88	
596.92	21.88	
597.689	23.88	
598.458	23.88	
599.226	19.88	
599.995	22.88	
600.764	20.88	
601.532	21.88	
602.3	23.88	
603.069	25.88	
603.837	27.88	
604.605	27.88	
605.373	26.88	
606.141	22.88	
606.909	28.88	
607.677	45.88	
608.445	27.88	
609.213	20.88	
609.98	21.88	
610.748	22.88	
611.516	23.88	
612.283	45.88	
613.05	65.88	
613.818	28.88	
614.585	16.88	
615.352	21.88	
616.119	17.88	
616.886	20.88	
617.653	22.88	
618.42	22.88	
619.187	22.88	
619.954	20.88	
620.72	20.88	
621.487	20.88	
622.254	22.88	
623.02	24.88	
623.786	52.88	
624.553	34.88	
625.319	22.88	
626.085	18.88	
626.851	20.88	
627.617	19.88	
628.383	22.88	
629.149	20.88	
629.915	18.88	
630.681	20.88	
631.446	19.88	
632.212	17.88	
632.977	18.88	
633.743	20.88	
634.508	17.88	
635.274	15.88	
636.039	22.88	
636.804	17.88	
637.569	20.88	
638.334	20.88	
639.099	21.88	
639.864	21.88	
640.629	21.88	
641.393	20.88	
642.158	27.88	
642.923	24.88	
643.687	21.88	
644.452	20.88	
645.216	20.88	
645.98	24.88	
646.745	22.88	
647.509	19.88	
648.273	21.88	
649.037	20.88	
649.801	17.88	
650.565	19.88	
651.328	20.88	
652.092	22.88	
652.856	20.88	
653.619	21.88	
654.383	20.88	
655.146	19.88	
655.91	19.88	
656.673	18.88	
657.436	17.88	
658.199	20.88	
658.962	22.88	
659.725	22.88	
660.488	22.88	
661.251	25.88	
662.014	22.88	
662.776	19.88	
663.539	22.88	
664.302	20.88	
665.064	18.88	
665.826	20.88	
666.589	21.88	
667.351	21.88	
668.113	24.88	
668.875	22.88	
669.637	20.88	
670.399	19.88	
671.161	29.88	
671.923	71.88	
672.685	40.88	
673.446	24.88	
674.208	19.88	
674.969	21.88	
675.731	37.88	
676.492	29.88	
677.254	25.88	
678.015	23.88	
678.776	22.88	
679.537	24.88	
680.298	19.88	
681.059	21.88	
681.82	22.88	
682.581	21.88	
683.341	21.88	
684.102	23.88	
684.863	24.88	
685.623	21.88	
686.383	22.88	
687.144	27.88	
687.904	31.88	
688.664	27.88	
689.424	33.88	
690.184	87.88	
690.944	432.88	
691.704	268.88	
692.464	58.88	
693.224	29.88	
693.984	32.88	
694.743	29.88	
695.503	42.88	
696.262	201.88	
697.021	556.88	
697.781	157.88	
698.54	45.88	
699.299	30.88	
700.058	26.88	
700.817	23.88	
701.576	22.88	
702.335	23.88	
703.094	36.88	
703.852	38.88	
704.611	24.88	
705.37	30.88	
706.128	78.88	
706.887	403.88	
707.645	279.88	
708.403	138.88	
709.161	92.88	
709.919	58.88	
710.678	29.88	
711.435	27.88	
712.193	22.88	
712.951	24.88	
713.709	26.88	
714.467	41.88	
715.224	76.88	
715.982	34.88	
716.739	24.88	
717.496	19.88	
718.254	20.88	
719.011	18.88	
719.768	16.88	
720.525	18.88	
721.282	23.88	
722.039	24.88	
722.796	20.88	
723.553	22.88	
724.309	20.88	
725.066	19.88	
725.823	22.88	
726.579	33.88	
727.335	122.88	
728.092	111.88	
728.848	34.88	
729.604	23.88	
730.36	22.88	
731.116	22.88	
731.872	25.88	
732.628	21.88	
733.384	22.88	
734.139	25.88	
734.895	27.88	
735.651	32.88	
736.406	31.88	
737.162	56.88	
737.917	200.88	
738.672	826.88	
739.427	358.88	
740.182	77.88	
740.937	39.88	
741.692	30.88	
742.447	26.88	
743.202	27.88	
743.957	29.88	
744.711	29.88	
745.466	26.88	
746.22	28.88	
746.975	31.88	
747.729	29.88	
748.484	32.88	
749.238	48.88	
749.992	206.88	
750.746	731.88	
751.5	965.88	
752.254	696.88	
753.008	142.88	
753.761	55.88	
754.515	41.88	
755.269	35.88	
756.022	31.88	
756.775	34.88	
757.529	32.88	
758.282	33.88	
759.035	37.88	
759.788	38.88	
760.542	39.88	
761.294	51.88	
762.047	97.88	
762.8	461.88	
763.553	3473.88	
764.306	2841.88	
765.058	502.88	
765.811	144.88	
766.563	76.88	
767.316	54.88	
768.068	45.88	
768.82	39.88	
769.572	39.88	
770.324	42.88	
771.076	57.88	
771.828	229.88	
772.58	1184.88	
773.332	660.88	
774.083	145.88	
774.835	55.88	
775.586	36.88	
776.338	29.88	
777.089	25.88	
777.841	24.88	
778.592	20.88	
779.343	21.88	
780.094	23.88	
780.845	15.88	
781.596	19.88	
782.347	20.88	
783.097	21.88	
783.848	22.88	
784.599	21.88	
785.349	24.88	
786.1	19.88	
786.85	22.88	
787.6	24.88	
788.351	20.88	
789.101	26.88	
789.851	28.88	
790.601	27.88	
791.351	30.88	
792.1	30.88	
792.85	40.88	
793.6	60.88	
794.349	284.88	
795.099	1062.88	
795.848	425.88	
796.598	108.88	
797.347	57.88	
798.096	55.88	
798.845	53.88	
799.594	85.88	
800.343	363.88	
801.092	1098.88	
801.841	1678.88	
802.59	552.88	
803.339	147.88	
804.087	81.88	
804.836	66.88	
805.584	70.88	
806.332	71.88	
807.081	86.88	
807.829	96.88	
808.577	117.88	
809.325	213.88	
810.073	959.88	
810.821	2669.88	
811.569	7000.88	
812.316	5132.88	
813.064	1014.88	
813.812	320.88	
814.559	162.88	
815.307	110.88	
816.054	73.88	
816.801	62.88	
817.548	49.88	
818.295	40.88	
819.042	40.88	
819.789	35.88	
820.536	36.88	
821.283	27.88	
822.03	27.88	
822.776	28.88	
823.523	22.88	
824.269	25.88	
825.016	39.88	
825.762	106.88	
826.508	559.88	
827.254	418.88	
828.001	95.88	
828.747	39.88	
829.493	28.88	
830.238	25.88	
830.984	21.88	
831.73	20.88	
832.475	19.88	
833.221	22.88	
833.966	20.88	
834.712	24.88	
835.457	27.88	
836.202	28.88	
836.947	38.88	
837.692	45.88	
838.437	52.88	
839.182	67.88	
839.927	148.88	
840.672	792.88	
841.417	1160.88	
842.161	1393.88	
842.906	2571.88	
843.65	760.88	
844.394	208.88	
845.139	95.88	
845.883	58.88	
846.627	45.88	
847.371	37.88	
848.115	32.88	
848.859	28.88	
849.603	31.88	
850.346	29.88	
851.09	48.88	
851.834	255.88	
852.577	529.88	
853.32	165.88	
854.064	51.88	
854.807	27.88	
855.55	20.88	
856.293	17.88	
857.036	16.88	
857.779	16.88	
858.522	14.88	
859.265	14.88	
860.007	14.88	
860.75	16.88	
861.493	15.88	
862.235	14.88	
862.977	12.88	
863.72	13.88	
864.462	15.88	
865.204	17.88	
865.946	25.88	
866.688	98.88	
867.43	123.88	
868.172	38.88	
868.913	17.88	
869.655	16.88	
870.397	10.88	
871.138	11.88	
871.879	12.88	
872.621	12.88	
873.362	8.88	
874.103	9.88	
874.844	11.88	
875.585	12.88	
876.326	16.88	
877.067	11.88	
877.808	11.88	
878.549	11.88	
879.289	12.88	
880.03	11.88	
880.77	5.88	
881.51	5.88	
882.251	7.88	
882.991	5.88	
883.731	7.88	
884.471	8.88	
885.211	10.88	
885.951	7.88	
886.691	9.88	
887.43	8.88	
888.17	9.88	
888.91	9.88	
889.649	12.88	
890.389	9.88	
891.128	9.88	
891.867	10.88	
892.606	5.88	
893.345	6.88	
894.084	10.88	
894.823	7.88	
895.562	7.88	
896.301	8.88	
897.039	6.88	
897.778	7.88	
898.517	7.88	
899.255	9.88	
899.993	5.88	
900.732	8.88	
901.47	8.88	
902.208	10.88	
902.946	12.88	
903.684	16.88	
904.422	15.88	
905.159	17.88	
905.897	20.88	
906.635	24.88	
907.372	26.88	
908.11	37.88	
908.847	47.88	
909.584	60.88	
910.322	83.88	
911.059	158.88	
911.796	541.88	
912.533	1814.88	
913.27	958.88	
914.006	284.88	
914.743	122.88	
915.48	77.88	
916.216	49.88	
916.953	39.88	
917.689	32.88	
918.426	28.88	
919.162	28.88	
919.898	37.88	
920.634	30.88	
921.37	47.88	
922.106	127.88	
922.842	297.88	
923.577	124.88	
924.313	51.88	
925.049	30.88	
925.784	22.88	
926.52	14.88	
927.255	12.88	
927.99	9.88	
928.725	9.88	
929.46	9.88	
930.195	11.88	
930.93	8.88	
931.665	7.88	
932.4	5.88	
933.135	5.88	
933.869	6.88	
934.604	7.88	
935.338	18.88	
936.073	20.88	
936.807	6.88	
937.541	6.88	
938.275	6.88	
939.009	4.88	
939.743	3.88	
940.477	6.88	
941.211	2.88	
941.944	3.88	
942.678	4.88	
943.411	4.88	
944.145	2.88	
944.878	4.88	
945.612	4.88	
946.345	3.88	
947.078	3.88	
947.811	4.88	
948.544	2.88	
949.277	3.88	
950.009	3.88	
950.742	4.88	
951.475	0.88	
952.207	4.88	
952.94	5.88	
953.672	4.88	
954.404	3.88	
955.137	3.88	
955.869	3.88	
956.601	4.88	
957.333	4.88	
958.065	4.88	
958.796	3.88	
959.528	5.88	
960.26	8.88	
960.991	8.88	
961.723	9.88	
962.454	12.88	
963.185	15.88	
963.917	20.88	
964.648	35.88	
965.379	87.88	
966.11	224.88	
966.841	109.88	
967.571	43.88	
968.302	24.88	
969.033	14.88	
969.763	13.88	
970.494	11.88	
971.224	10.88	
971.954	8.88	
972.685	9.88	
973.415	6.88	
974.145	6.88	
974.875	6.88	
975.605	4.88	
976.334	7.88	
977.064	8.88	
977.794	12.88	
978.523	32.88	
979.253	28.88	
979.982	12.88	
980.711	5.88	
981.441	5.88	
982.17	4.88	
982.899	1.88	
983.628	3.88	
984.357	3.88	
985.085	1.88	
985.814	-0.12	
986.543	-2.12	
987.271	-2.12	
988	29.88	
988.728	27.88	
989.456	27.88	
990.184	30.88	
990.913	31.88	
991.641	30.88	
992.369	3.88	
993.096	2.88	
993.824	1.88	
994.552	4.88	
995.279	1.88	
996.007	2.88	
996.734	3.88	
997.462	-0.12	
998.189	-0.12	
998.916	-1.12	
